timestamp_(min),feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
92,72179677,372258,3822,29610,64026,65487,25817620,34,1646,10830,43503,2549708,172876,9407,440082,4226,25036743,2267,2545886,0,685,3,10942,5344,1877
93,39967760,806199,30011,68230,190467,283922,10841884,1870,24832,9621,29049,2322722,304992,89308,3113580,16637,3621638,1310,1806056,0,1366,2,8152,29867,16989
94,15451331,3502043,30726,119952,150378,306149,5467892,1065,4920,16623,56465,2056687,219579,102666,5750436,15834,6215627,1191,2702893,0,1213,5,5854,36707,23352
95,17990884,2233928,52744,162364,422313,380286,5857154,10119,16147,30587,72748,1415001,185873,26046,1583136,6341,2386934,1283,2628863,0,2430,8,13093,17773,12542
96,24100112,5004835,42817,34919,64311,227176,931563,7426,17543,22549,38393,2625820,123462,38245,3336268,8949,4070284,2805,593490,0,11982,2,8569,8230,4567
97,25379312,5559295,58476,83815,164105,241983,3197031,1367,7210,17460,42633,3707253,154549,62585,4367254,17051,4902386,9874,2033760,0,5358,1,23851,17631,4797
98,34613736,7586681,59235,67919,95152,362518,6740459,3369,12211,17215,43520,3281426,83828,52001,6379773,5502,7073437,5597,3006534,0,2541,2,13140,5559,1433
99,46982212,1291935,20778,68344,224430,60162,23802488,69,974,5489,13476,2689045,21539,19896,1130749,5804,22095914,2058,2949158,0,634,0,5316,166,283
100,60020242,314930,2936,23729,54146,119390,18364589,874,4588,11458,29050,621800,125378,7869,433789,5632,22534982,575,1601755,1,724,2,17425,21254,7476
101,19679101,565495,21882,35429,95344,301422,4855843,2984,6225,14877,35327,3900307,115342,21841,483981,15327,556560,2745,2070659,0,3035,6,26107,7082,1907
102,30974863,6552654,64665,64448,125473,337685,8204186,2198,6324,17029,60690,3649057,185303,44108,2907274,15166,3370857,1419,3673067,1,1998,8,13860,13401,2221
103,30969883,5537601,78016,122549,320410,331509,8659750,1886,2945,16259,29056,3625625,65132,68773,8237281,4395,8974178,1016,4174047,0,1696,5,16308,1996,1719
104,36382287,8060043,61163,79000,131201,594701,7211015,3651,30142,15060,40128,3728083,127869,65995,8268610,6243,8934425,1191,4045753,0,1950,1,19378,11859,4391
105,37794886,8234547,62863,78009,161279,323425,7771838,3389,12124,15368,37267,3903237,101599,73050,4752604,14825,5937849,1790,3445573,0,2324,0,12244,11177,2022
106,48409036,1624905,31970,55460,128496,125814,17286989,2065,4609,23507,43110,4539500,169486,72733,3249392,6707,15025383,2718,3883549,0,4408,25,11756,7219,6234
107,60857243,287493,1466,23829,36439,48595,25673618,11,192,18967,44435,4011891,94312,16113,851791,4788,23345484,531,2769232,0,813,0,4180,326,577
108,61306331,2699938,75231,148631,339161,613497,17026541,17997,23100,6492,17996,2946808,42691,37345,1304920,7414,21860826,244,3110846,0,1429,0,24729,6276,3468
109,35615997,6012937,95436,117865,314239,570387,7653175,3986,33919,19995,67858,7182831,273862,71057,8730429,7450,10564551,2794,8363228,9,17958,2,26251,25083,7426
110,38253641,8039643,82946,105691,212828,450334,9513142,3017,6937,20045,62060,4032523,153477,75958,7589108,18641,8335523,2248,4499997,0,3288,8,21504,17267,3875
111,39478131,8787118,82564,109002,192582,452439,10026431,3297,6752,24789,49185,4708756,258686,70499,9032322,9386,10007893,2264,5248715,6,3533,29,28962,7568,7166
112,42053798,7777974,64891,144823,298056,398330,8252576,2321,9688,26490,52671,3995083,148960,75862,7813929,12015,8684447,2889,4170630,0,5945,0,15763,2422,1435
113,35274246,7094058,74456,75195,149384,417392,8324582,1803,5913,19485,48227,5571931,180277,53827,2328754,10840,3848991,1664,2145899,0,4111,1,12380,5467,1439
114,37809926,3601690,96205,77143,183365,285736,14306486,7218,15553,6503,17074,3471580,41241,54332,1501231,3018,21797248,1968,5067068,0,3115,0,12946,3698,1306
115,58141286,309872,2708,24090,38544,65706,25803269,57,1619,13254,43623,3258231,136815,3063,318977,1781,23051577,225,2863564,0,97,0,5602,2893,1121
116,53996847,514806,17488,38967,124197,251193,14320945,1185,7899,17496,51169,4228715,118402,54764,5725520,11265,9882667,870,3960450,0,1706,0,16241,17560,6355
117,38443871,7101306,103364,132306,377406,402812,8379801,2067,9254,15877,48912,3701709,132810,76340,8335247,6618,9032905,1993,3962424,0,1833,0,16425,4201,1371
118,36600700,7474290,97953,76328,156029,474769,6530754,1611,25387,10364,32014,3981990,86424,97837,5430299,19856,6427049,3247,3673182,0,3090,0,13502,16023,4719
119,35794023,7455524,79966,52463,77078,269594,5226550,780,7294,18216,55622,3942679,122493,89605,7695881,5418,8478013,991,2053562,0,794,0,15280,3832,1434
120,34415850,7825983,93207,77889,159939,367804,7695125,4807,14533,20522,47481,4259806,133149,87985,8043681,3519,8833699,1507,3260780,0,4259,10,14871,2242,1493
121,35794196,3196309,88483,102593,236545,210417,22349137,4464,6723,10828,27132,3811512,79814,65418,3490418,13197,4674145,3780,3923037,0,5217,0,19996,5939,1173
122,58948855,461065,11391,40982,177968,60558,23880979,30,1428,9223,31659,2293744,52727,43254,1327392,3670,23313398,232,2318732,0,50,0,4185,2369,887
123,56669397,1088336,27344,34542,124205,431806,6575558,1767,29056,11114,44765,2903192,225718,6227,371329,3655,24365322,1497,2839471,0,1088,5,16403,20468,10353
124,33700273,7161175,83301,73307,144716,304591,8447198,655,2186,9879,27828,1867321,55968,79786,5400311,12424,6115214,703,4023072,0,850,0,10599,3363,989
125,32259338,6302444,79162,101490,239553,361445,7157125,938,8698,10292,38138,3987625,114922,84963,7640958,6953,8528104,1152,2688521,0,862,1,14063,4464,1499
126,32522168,6298962,90717,67036,185907,329202,8360986,721,4544,17450,47371,3792179,120445,92693,6950581,14482,7928494,1171,3095738,0,1084,1,14096,12232,2236
127,32463874,6847356,82771,79877,159652,432508,4807098,1443,11116,19693,55212,4959658,136895,83457,6461777,12298,7122959,2029,3688039,0,1505,3,17535,11351,4101
128,46517976,4096576,63480,79205,175124,370712,6762652,5662,15527,6389,18386,3769469,42741,68865,5048090,9985,5646601,2947,5086320,0,8122,0,17716,6241,1698
129,61540109,425741,10269,41611,177992,152134,25292212,3023,3694,5276,20098,2870038,52388,44450,2302724,5206,18042705,93,3095092,0,6,0,5101,752,706
130,41173699,420103,18778,25062,101803,132783,20987471,469,5807,22677,86151,2545140,243861,3487,340846,2082,24703729,2578,2031437,0,1100,3,13166,9285,3942
131,17137620,3857180,71579,75255,204214,387319,8158008,967,5277,15625,42338,4241327,102163,67050,3183103,19271,10101291,1240,3930797,0,1000,0,16598,11611,3264
132,34688177,7639884,84501,49181,122486,493458,5957366,2864,30311,14366,36662,4174351,77559,94165,7513363,10598,8294837,1380,3853881,0,1034,2,23486,15439,7047
133,34293225,6882627,83902,87842,188938,318914,8611855,469,2199,15302,56340,3881944,194285,83122,8165106,4857,9020492,1139,4240237,0,1214,3,16750,12989,4551
134,27003107,4347073,71095,121911,281476,311808,7821459,963,3865,18804,58922,3971397,150696,89895,5651745,17227,6293027,699,4391755,0,492,0,9341,4600,1445
135,39529871,6498978,73842,121428,240832,466025,7452259,5330,20048,16806,36260,4377153,74461,74957,6529465,6561,7279993,2334,2808036,0,1674,7,21101,12560,5652
136,70537069,359395,5312,30521,68568,52070,17860449,94,1433,17089,37514,2711946,127125,35814,2811692,6831,16146206,3191,3036690,0,2358,35,15683,8701,2622
137,56029002,2836453,50251,67243,169355,177805,22148721,774,2903,5212,17384,3044822,52068,14528,623129,4827,22655030,42,3155020,0,9,0,7747,4415,1763
138,34361227,7331692,81566,78476,149943,433310,10199718,1577,10912,26312,106996,3719239,280390,71638,4595439,14168,13414777,1512,3452674,43,4362,4,16644,6449,2195
139,32058023,5341080,80633,120649,410509,406802,8357285,1434,6766,16725,49138,4297616,107201,101327,7667102,19095,8446462,1694,4465828,1,1246,15,16862,19003,3889
140,36078458,7915349,84392,48988,111488,448919,7567402,1405,25626,9840,28233,4385933,65970,87668,7850194,14426,8720530,3833,3936956,0,4040,1,22175,10879,4839
141,30866363,5974674,62682,75942,129248,477753,8181022,1188,7933,18243,70107,2689550,170668,80672,5675817,13868,6664008,639,4278979,0,428,0,15883,3807,1973
142,11468797,2525124,43752,28528,116433,338818,8948753,824,3427,11980,44107,3542202,107967,83784,8190658,5450,8963652,706,3010998,0,446,1,14200,14068,2250
143,28435984,5152572,59968,47887,137641,310728,7200274,2763,16592,13151,28382,2959381,53069,43778,3819362,7792,15690920,2575,2490002,0,2849,4,14841,5363,1684
144,55981678,402364,8597,33653,169476,63794,24854136,29,1508,5107,12985,3123725,41086,7839,405383,4694,21325884,201,2740444,0,41,0,3021,1000,386
145,59853903,527106,18280,23486,102823,272692,18045634,758,9344,10584,44738,3417187,119192,46333,2274577,13307,13455414,4639,2750324,0,1971,1,5169,12913,3023
146,37196681,8147590,82563,91231,128699,411307,7080806,820,22940,10560,47682,3408478,143944,73483,7133693,5499,7902023,554,4535783,0,609,0,20061,19203,5202
147,30749137,6158381,75333,49508,150686,346857,8439783,547,4435,13301,34282,3834784,72823,73169,5329183,15052,5932634,1239,3241395,0,726,2,9340,4969,1389
148,30598386,5421829,75689,99976,275924,381926,6768591,811,11387,9507,26319,3806359,56416,61057,6087497,5122,6724109,1764,3338591,0,461,0,10033,11297,3309
149,33658803,7079056,71613,48715,101955,309951,8278253,372,2795,13019,43854,3375563,144798,80436,6720397,11168,7496099,817,3343672,0,315,0,9080,10228,2009
150,31826608,5057549,71329,83618,188632,376928,8188334,3425,7731,13862,33781,3514712,95709,81603,5869257,13541,6791297,1349,3895468,0,1762,27,17412,7893,4358
151,66444928,469780,5894,27961,65640,427148,12323600,10943,20072,21331,52094,5633358,174190,35326,2087084,5918,15488467,2899,5532893,4,10377,0,13791,5401,3174
152,67223567,1425677,43335,77657,134097,328497,22517337,8231,10596,4688,13280,2930901,25678,3394,338172,2051,24520941,272,3223595,0,50,0,5776,543,382
153,44321498,3041741,112143,103522,303182,63828,25604102,166,1956,20599,44802,7304689,230838,105666,2992123,7656,19764559,1638,6033965,0,7873,0,16627,19630,3579
154,41227313,9380528,117509,72416,192779,617836,8268359,3917,30980,15851,72988,4992795,438908,135836,6814101,25686,11464655,2318,6036043,0,4962,1,18325,32622,10351
155,47030158,10389558,122541,71760,157800,492803,12322368,640,3567,20146,77901,5798282,355326,120951,11576454,18264,13187762,3321,5924292,0,2749,0,17075,17622,11262
156,50970439,9493753,113446,106477,274780,495962,10765383,1474,8254,12439,47339,4627804,187493,115613,10457800,21851,11967274,1543,5060364,0,861,0,17190,22991,14073
157,33715811,7500208,96943,83600,189279,442607,7617394,2056,25110,19870,42321,4112132,71739,96498,7891858,16463,8756953,892,4463310,6,588,0,14792,8572,3801
158,52994658,3178554,55328,81772,191629,414324,8726439,8026,16532,13150,47789,3429451,97204,74082,5810530,9718,8098290,2380,5110350,1,7635,0,25289,2306,1259
159,71604919,354147,3207,27056,56506,111278,17901589,406,2987,9752,28656,3963977,80378,17635,925099,1171,24807824,266,2569584,0,59,0,3451,4786,1393
160,38550832,4666786,61364,62440,149491,64789,25458790,55,1706,5316,19175,2837646,60485,18599,863634,6720,21848137,3554,3457660,0,1662,0,8983,4947,1346
161,31688153,6591219,82229,97103,330684,374297,9095275,950,9613,13839,52504,3495134,165151,79186,5371450,14007,6284676,1469,4350088,2,668,1,13933,8739,3080
162,38972549,6857224,79597,82057,194736,389814,7447917,1310,5514,14152,49237,4044666,109859,108298,6589099,21377,7459917,1128,4545173,0,612,7,10644,15006,4173
163,32878082,7031976,70914,59848,105535,384678,8494286,1011,5045,13573,37411,3895955,71937,62048,6432665,4339,7012480,1336,3694289,0,1433,2,14262,3645,1396
164,15447132,3001704,42392,42625,116574,305800,5768953,594,7543,15232,56879,2376736,195848,24771,580243,10864,867854,1472,2724461,16,470,3,12765,8667,3326
165,14417326,3388632,66070,61271,195885,329681,5480172,2402,7680,24772,57812,3338329,172467,58745,2811159,12671,3290611,871,2992820,0,243,4,23980,26080,12011
166,44951443,2587011,49453,110867,213947,425566,11613613,7982,20732,9601,28056,4129640,91495,40279,1566212,5963,14673913,2868,4600103,0,6791,27,22271,6527,1453
167,57996693,400280,8496,37988,169680,51550,27177732,14,216,9726,32593,2654129,53035,1777,340886,788,27304973,31,2608983,0,4,1,4918,1882,712
